site_no,station_nm,Latitude,Longitude,year,SSC_mgL
st_s003,st_s003,68.3782602051642,-122.500239984592,2001,22.2412739888179
st_s003,st_s003,68.3782602051642,-122.500239984592,2013,29.3521877179155
st_s003,st_s003,68.3782602051642,-122.500239984592,2015,111.539692282003
st_s003,st_s003,68.3782602051642,-122.500239984592,2016,25.1906883197369
st_s003,st_s003,68.3782602051642,-122.500239984592,2017,48.5476083865006
st_s003,st_s003,68.3782602051642,-122.500239984592,2018,53.8195498627806
st_s003,st_s003,68.3782602051642,-122.500239984592,2019,38.9952555147085
st_s003,st_s003,68.3782602051642,-122.500239984592,2021,27.0642740585974
st_s003,st_s003,68.3782602051642,-122.500239984592,2002,54.0809271429487
st_s003,st_s003,68.3782602051642,-122.500239984592,2024,34.2891624536983
st_s003_ref,st_s003_ref,68.3153902052157,-122.542059984485,1984,114.655436539093
st_s003_ref,st_s003_ref,68.3153902052157,-122.542059984485,1997,98.2348929761858
st_s003_ref,st_s003_ref,68.3153902052157,-122.542059984485,2003,85.963480504492
st_s003_ref,st_s003_ref,68.3153902052157,-122.542059984485,2011,126.741072347624
st_s003_ref,st_s003_ref,68.3153902052157,-122.542059984485,2009,57.5835182872898
st_s003_ref,st_s003_ref,68.3153902052157,-122.542059984485,2005,63.5953594532051
st_s003_ref,st_s003_ref,68.3153902052157,-122.542059984485,2012,5.67894266781909
st_s003_ref,st_s003_ref,68.3153902052157,-122.542059984485,2014,334.756811783071
st_s003_ref,st_s003_ref,68.3153902052157,-122.542059984485,2000,353.604629899461
st_s003_ref,st_s003_ref,68.3153902052157,-122.542059984485,2001,422.013562590762
st_s003_ref,st_s003_ref,68.3153902052157,-122.542059984485,2020,197.501565068333
st_s003_ref,st_s003_ref,68.3153902052157,-122.542059984485,2023,64.1109260699356
st_s003_ref,st_s003_ref,68.3153902052157,-122.542059984485,2017,181.880483272444
st_s003_ref,st_s003_ref,68.3153902052157,-122.542059984485,2021,347.373222543751
st_s003_ref,st_s003_ref,68.3153902052157,-122.542059984485,2018,272.867044634636
st_s003_ref,st_s003_ref,68.3153902052157,-122.542059984485,2019,314.061525919037
st_s003_ref,st_s003_ref,68.3153902052157,-122.542059984485,2024,371.106361075108
st_s004,st_s004,67.9419572050712,-161.099034984902,1986,11.2454994666233
st_s004,st_s004,67.9419572050712,-161.099034984902,2005,49.1317158232559
st_s004,st_s004,67.9419572050712,-161.099034984902,2006,20.0357947006521
st_s004,st_s004,67.9419572050712,-161.099034984902,2007,31.266678661508
st_s004,st_s004,67.9419572050712,-161.099034984902,2009,42.3181158274784
st_s004,st_s004,67.9419572050712,-161.099034984902,2008,23.4073194079187
st_s004,st_s004,67.9419572050712,-161.099034984902,2010,48.4903171544479
st_s004,st_s004,67.9419572050712,-161.099034984902,1990,10.7061081870894
st_s004,st_s004,67.9419572050712,-161.099034984902,1995,15.2503691296015
st_s004,st_s004,67.9419572050712,-161.099034984902,2023,50.8997526920128
st_s004,st_s004,67.9419572050712,-161.099034984902,1999,10.6143816993155
st_s004,st_s004,67.9419572050712,-161.099034984902,2000,41.0336921950994
st_s004,st_s004,67.9419572050712,-161.099034984902,2001,40.4290054473492
st_s004,st_s004,67.9419572050712,-161.099034984902,2002,33.7203054906536
st_s004,st_s004,67.9419572050712,-161.099034984902,2003,35.3595119097103
st_s004,st_s004,67.9419572050712,-161.099034984902,2004,33.378381643061
st_s004,st_s004,67.9419572050712,-161.099034984902,2011,53.8824103123384
st_s004,st_s004,67.9419572050712,-161.099034984902,2012,19.4548755260248
st_s004,st_s004,67.9419572050712,-161.099034984902,2013,45.0637220209034
st_s004,st_s004,67.9419572050712,-161.099034984902,2014,31.582872770395
st_s004,st_s004,67.9419572050712,-161.099034984902,2015,26.3702023719873
st_s004,st_s004,67.9419572050712,-161.099034984902,2016,29.7090403085161
st_s004,st_s004,67.9419572050712,-161.099034984902,2018,49.8278053058782
