site_no,station_nm,month,year,decade,Latitude,Longitude,sample_dt,num_pix,B1,B2,B3,B4,B6,cluster,SSC_mgL,ten_day,reference
st_s002,st_s002,7,2008,2005,68.6937602052197,-131.64161998437,2008-07-28,3,427,596,532,1121,299,3,55.9369859440779,210,"Affected, Post-slump"
st_s002,st_s002,8,1999,1995,68.6937602052197,-131.64161998437,1999-08-24,4,598,859,867,1133,287,3,108.572564103831,230,"Affected, Post-slump"
st_s002,st_s002,6,2000,2000,68.6937602052197,-131.64161998437,2000-06-07,6,643,619,674,768,286,3,64.5143384384942,150,"Affected, Post-slump"
st_s002,st_s002,8,2000,2000,68.6937602052197,-131.64161998437,2000-08-10,29,172,190,96,270,289,3,2.43571629310072,220,"Affected, Post-slump"
st_s002,st_s002,6,2001,2000,68.6937602052197,-131.64161998437,2001-06-10,5,260,268,264,300,287,3,52.149883259566,160,"Affected, Post-slump"
st_s002,st_s002,6,2001,2000,68.6937602052197,-131.64161998437,2001-06-26,1,198,188,183,396,291,3,64.7006071865168,170,"Affected, Post-slump"
st_s002,st_s002,7,2001,2000,68.6937602052197,-131.64161998437,2001-07-28,14,148,131,80,245,290,3,3.94241882455019,200,"Affected, Post-slump"
st_s002,st_s002,7,2006,2005,68.6937602052197,-131.64161998437,2006-07-10,1,157,205,199,433,290,3,86.9302632680597,190,"Affected, Post-slump"
st_s002,st_s002,5,2009,2005,68.6937602052197,-131.64161998437,2009-05-31,2,425,529,634,865,285,3,254.089429407686,150,"Affected, Post-slump"
st_s002,st_s002,7,2012,2010,68.6937602052197,-131.64161998437,2012-07-10,2,590,773,850,1307,285,3,172.439086789712,190,"Affected, Post-slump"
st_s002,st_s002,7,2012,2010,68.6937602052197,-131.64161998437,2012-07-26,10,389,576,634,1151,295,3,230.651756745333,200,"Affected, Post-slump"
st_s002,st_s002,5,2014,2010,68.6937602052197,-131.64161998437,2014-05-29,1,429,548,636,1021,290,3,230.234500727636,140,"Affected, Post-slump"
st_s002,st_s002,8,2016,2015,68.6937602052197,-131.64161998437,2016-08-06,3,345,556,652,1094,290,3,268.031336571199,210,"Affected, Post-slump"
st_s002,st_s002,5,2017,2015,68.6937602052197,-131.64161998437,2017-05-21,17,407,503,570,707,284,3,112.38390850269,140,"Affected, Post-slump"
st_s002,st_s002,6,2017,2015,68.6937602052197,-131.64161998437,2017-06-22,1,142,182,217,286,294,3,103.274361000518,170,"Affected, Post-slump"
st_s002,st_s002,8,2017,2015,68.6937602052197,-131.64161998437,2017-08-09,11,144,142,81,227,295,3,3.63184405828395,220,"Affected, Post-slump"
st_s002,st_s002,6,2019,2015,68.6937602052197,-131.64161998437,2019-06-28,1,326,459,555,666,290,3,338.476926084282,170,"Affected, Post-slump"
st_s002,st_s002,7,2019,2015,68.6937602052197,-131.64161998437,2019-07-30,2,439,699,665,1267,293,3,118.30326713476,210,"Affected, Post-slump"
st_s002,st_s002,7,2021,2015,68.6937602052197,-131.64161998437,2021-07-19,5,513,696,725,1285,292,3,128.44835746857,200,"Affected, Post-slump"
st_s002,st_s002,8,2021,2015,68.6937602052197,-131.64161998437,2021-08-04,4,345,578,514,1199,293,3,99.4819272523374,210,"Affected, Post-slump"
st_s002,st_s002,6,2022,2015,68.6937602052197,-131.64161998437,2022-06-19,4,187,201,201,372,285,3,87.0984996891651,170,"Affected, Post-slump"
st_s002,st_s002,7,2022,2015,68.6937602052197,-131.64161998437,2022-07-06,13,432,592,560,1189,299,3,93.6498350747221,180,"Affected, Post-slump"
st_s002,st_s002,8,2022,2015,68.6937602052197,-131.64161998437,2022-08-26,1,243,344,478,572,288,3,745.320687324287,230,"Affected, Post-slump"
st_s002,st_s002,6,2023,2015,68.6937602052197,-131.64161998437,2023-06-02,1,278,380,442,499,286,3,353.774415622376,150,"Affected, Post-slump"
st_s002,st_s002,6,2023,2015,68.6937602052197,-131.64161998437,2023-06-29,2,428,583,564,1305,298,3,110.068988513892,180,"Affected, Post-slump"
st_s002,st_s002,7,2023,2015,68.6937602052197,-131.64161998437,2023-07-21,2,299,494,447,1251,301,3,171.646966336444,200,"Affected, Post-slump"
st_s002,st_s002,6,2000,2000,68.6937602052197,-131.64161998437,2000-06-14,9,528,531,520,597,286,3,71.9798752267426,160,"Affected, Post-slump"
