system:index,B1_median,B2_count,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,cloud_cover,cloud_qa_count,date,img_qual,lat,lon,nd_median,pixel_qa_median,site_no,snow_ice_qa_count,solar_az,solar_zen,.geo
1_1_2_LE07_062012_20190728_0,460.8375000000001,4,691.425,730.75,1347.025,542.6500000000001,294.84862240999996,248.26249999999993,3.0,0,2019-07-28,9.0,68.42509020521814,-132.20318998438606,-0.10137606412172318,1.0,s005,0,166.75706041,40.14157002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_062012_20200527_0,1698.2000000000003,3,1668.775,1713.6000000000001,2126.65,683.1749999999997,279.79395332,409.27500000000003,4.0,60,2020-05-27,9.0,68.42509020521814,-132.20318998438606,-0.4381091296672821,2.0,s005,13,164.47218101,42.54315104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_062012_20200612_0,388.6500000000001,1,461.25,471.975,615.8000000000002,382.5999999999999,291.98944868,372.97500000000014,20.0,125,2020-06-12,9.0,68.42509020521814,-132.20318998438606,-0.09320376813411713,2.0,s005,0,163.02515458,44.1758078,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_062012_20200730_0,897.3999999999999,16,998.0499999999997,814.9000000000001,2051.025,761.0,293.6335163,356.1999999999999,8.0,0,2020-07-30,9.0,68.42509020521814,-132.20318998438606,-0.13462495803833008,1.0,s005,0,160.94124181,38.9719226,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_062012_20210717_0,315.7750000000001,1,415.325,421.92499999999995,1083.575,411.7499999999999,296.57643152,245.9249999999999,11.0,0,2021-07-17,9.0,68.42509020521814,-132.20318998438606,-0.004322461783885956,1.0,s005,0,152.34911631,40.7634879,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_062012_20211005_1,1561.8,3,1437.775,1284.8749999999998,1665.2,499.74999999999994,269.19125528,307.52499999999986,28.0,25,2021-10-05,9.0,68.38263020514366,-132.3255099846317,-0.452591210603714,1.0,s005_ref,66,159.92876701,15.36798079,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_062012_20230709_0,303.95000000000005,1,508.0000000000001,523.9500000000003,1259.575,412.8499999999999,296.46705488,198.62500000000006,4.0,0,2023-07-09,9.0,68.42509020521814,-132.20318998438606,-0.10332844406366348,1.0,s005,0,130.88307849,37.83913365,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_062012_20230805_0,513.6375000000002,4,624.0499999999998,533.9875,1341.525,496.99999999999994,292.78072031,237.67499999999995,2.0,0,2023-08-05,9.0,68.42509020521814,-132.20318998438606,-0.1312471143901348,1.0,s005,0,131.77084972,32.3777876,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_062012_20230805_1,539.3500000000001,2,600.95,436.2249999999999,1375.4875,555.5749999999998,294.04026067999996,236.575,2.0,0,2023-08-05,9.0,68.38263020514366,-132.3255099846317,-0.03892478346824646,1.0,s005_ref,0,131.77084972,32.3777876,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_062012_20230827_0,658.8374999999999,2,808.4375,823.4249999999998,1214.3374999999996,772.8249999999998,279.43506121999997,488.75,81.0,0,2023-08-27,9.0,68.42509020521814,-132.20318998438606,-0.02235300885513425,1.0,s005,0,134.47764284,25.84720921,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_063012_20000612_0,419.4500000000001,1,471.975,539.6250000000002,626.2499999999999,383.6999999999999,285.06112214,312.75,4.0,115,2000-06-12,9.0,68.42509020521814,-132.20318998438606,-0.10316416621208191,2.0,s005,0,169.68761813,44.65982872,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_063012_20000612_1,516.3875000000002,6,579.9124999999999,646.7375000000001,762.2375000000001,495.34999999999997,283.74347543,341.62499999999983,4.0,123,2000-06-12,9.0,68.38263020514366,-132.3255099846317,-0.029138315469026566,2.0,s005_ref,30,169.68761813,44.65982872,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_063012_20040607_0,710.6750000000001,8,812.1499999999999,849.8250000000002,1023.3500000000001,664.1999999999998,275.71625546,458.2249999999999,9.0,0,2004-06-07,9.0,68.42509020521814,-132.20318998438606,-0.07891066372394562,1.0,s005,0,169.10552186,44.27904405,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_063012_20040607_1,966.9749999999999,1,1052.5,1133.075,1264.7999999999997,663.9250000000002,271.27624748,487.3749999999999,9.0,124,2004-06-07,9.0,68.38263020514366,-132.3255099846317,-0.22638623416423798,2.0,s005_ref,0,169.10552186,44.27904405,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_063012_20040826_0,272.05000000000007,2,184.3249999999999,65.25000000000003,276.1749999999999,181.30000000000007,278.71044098,132.89999999999995,74.0,0,2004-08-26,9.0,68.42509020521814,-132.20318998438606,-0.008273504674434662,4.0,s005,0,169.38959149,31.45907612,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_063012_20060528_0,819.3000000000001,76,690.9019299499643,560.3877690802349,714.2500000000001,372.97500000000014,279.66748657999995,157.65,5.0,0,2006-05-28,9.0,68.42509020521814,-132.20318998438606,-0.348488986492157,4.0,s005,0,170.0020451,43.02748274,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_063012_20060528_1,1551.625,8,1400.5125000000003,1355.5500000000002,1413.3000000000002,599.8499999999998,278.48485166,388.65,5.0,14,2006-05-28,9.0,68.38263020514366,-132.3255099846317,-0.4053671509027481,4.0,s005_ref,27,170.0020451,43.02748274,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_063012_20071006_1,1653.6499999999999,1,1521.1000000000001,1607.725,2066.7000000000003,597.6500000000001,266.26884817999996,429.35,31.0,0,2007-10-06,9.0,68.38263020514366,-132.3255099846317,-0.43584659695625305,4.0,s005_ref,89,174.29604034,16.37664421,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_063012_20110526_1,914.1749999999998,3,1130.875,1168.825,1448.7749999999999,592.975,287.55969475999996,378.74999999999994,2.0,40,2011-05-26,9.0,68.38263020514366,-132.3255099846317,-0.34305498003959656,2.0,s005_ref,1,171.50650126,42.71482922,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_063012_20120528_1,916.6500000000003,2,979.2124999999999,953.0875,1105.025,635.3249999999999,281.77127788999996,393.4625,6.0,90,2012-05-28,9.0,68.38263020514366,-132.3255099846317,-0.2075352033758825,2.0,s005_ref,6,171.62729031,43.18474123,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_063012_20121003_0,152.9749999999999,1,242.90000000000006,267.375,429.9,126.57499999999987,275.8427222,68.55,34.0,0,2012-10-03,9.0,68.42509020521814,-132.20318998438606,-0.31483861804008484,32.0,s005,0,175.75855861,17.31412361,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_063012_20130531_0,1566.75,3,1472.425,1558.4999999999998,1936.9000000000003,677.1250000000001,280.94924407999997,346.5750000000001,21.0,97,2013-05-31,9.0,68.42509020521814,-132.20318998438606,-0.37067711353302,2.0,s005,20,171.8626245,43.57994935,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_063012_20130531_1,1685.5500000000002,1,1559.6,1477.6499999999999,1669.875,645.7750000000001,278.83690772,314.94999999999993,21.0,128,2013-05-31,9.0,68.38263020514366,-132.3255099846317,-0.4143626367397834,2.0,s005_ref,12,171.8626245,43.57994935,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_063012_20130904_0,352.07500000000005,1,566.8499999999999,567.4000000000001,1098.4250000000002,490.4,285.63193148,215.1249999999999,69.0,0,2013-09-04,9.0,68.42509020521814,-132.20318998438606,-0.07231023907661438,1.0,s005,0,172.57051883,28.45827656,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_063012_20131006_0,387.825,1,366.1,286.8999999999999,378.19999999999993,133.99999999999994,273.83976248,146.64999999999984,31.0,0,2013-10-06,9.0,68.42509020521814,-132.20318998438606,-0.4641071856021881,32.0,s005,0,176.06947627,16.25940173,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_063012_20131006_1,128.22499999999988,40,128.77499999999986,87.52499999999996,149.95000000000007,113.64999999999986,272.2879814,61.12499999999993,31.0,0,2013-10-06,9.0,68.38263020514366,-132.3255099846317,-0.07550979405641556,32.0,s005_ref,0,176.06947627,16.25940173,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_063012_20160624_0,462.0749999999999,6,679.325,733.0874999999997,1326.95,633.4000000000001,293.97873632,282.5,23.0,0,2016-06-24,9.0,68.42509020521814,-132.20318998438606,-0.03745811618864536,1.0,s005,0,172.45142345,44.97181535,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_063012_20160726_0,374.6250000000001,1,484.07499999999993,471.6999999999999,1173.225,475.275,288.22962668,245.65000000000003,17.0,0,2016-07-26,9.0,68.42509020521814,-132.20318998438606,-0.009172877296805382,1.0,s005,0,171.5521537,40.7317148,"{""type"":""MultiPoint"",""coordinates"":[]}"
