system:index,B1_median,B2_count,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,cloud_cover,cloud_qa_count,date,img_qual,lat,lon,nd_median,pixel_qa_median,site_no,snow_ice_qa_count,solar_az,solar_zen,.geo
1_1_2_LE07_053016_20160501_10,1103.925,53,1230.9750000000004,1366.5500000000002,1490.575,401.02499999999986,274.58147282,323.7499999999999,16.0,0,2016-05-01,9.0,63.66944020518405,-124.03920998715267,-0.5085477828979492,4.0,s008,0,167.85747544,42.09416204,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20160501_11,991.1750000000003,47,1104.4749999999997,1230.7,1302.4750000000001,400.47499999999985,276.59126858,293.4999999999999,16.0,0,2016-05-01,9.0,63.557550205232616,-124.15494998723467,-0.4677896201610565,1.0,s008_ref,3,167.85747544,42.09416204,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20160618_10,486.8249999999999,17,710.1249999999998,805.2749999999997,656.775,301.4749999999999,292.4372093,235.19999999999985,9.0,0,2016-06-18,9.0,63.66944020518405,-124.03920998715267,-0.42324891686439514,32.0,s008,0,165.15662012,49.96219729,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20160618_11,319.07499999999993,2,489.85,546.7750000000002,465.5124999999999,145.4124999999999,291.16741487,141.56249999999994,9.0,0,2016-06-18,9.0,63.557550205232616,-124.15494998723467,-0.545654684305191,32.0,s008_ref,0,165.15662012,49.96219729,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20160704_10,944.6999999999999,14,1222.0375,1404.2250000000001,1248.8500000000001,527.3874999999998,297.35232206,395.38749999999993,61.0,0,2016-07-04,9.0,63.66944020518405,-124.03920998715267,-0.39705684781074524,32.0,s008,0,164.15615078,49.22748009,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20160821_10,620.7499999999999,13,860.0000000000002,920.7749999999997,786.5749999999999,443.64999999999986,294.10520306,332.55000000000007,30.0,0,2016-08-21,9.0,63.66944020518405,-124.03920998715267,-0.34092217683792114,32.0,s008,0,166.56541999,38.34272181,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20170520_10,688.4000000000001,6,1002.7249999999999,1197.4249999999997,1078.6249999999998,285.79999999999995,288.84828830000004,243.45000000000005,50.0,108,2017-05-20,9.0,63.66944020518405,-124.03920998715267,-0.5797135829925537,32.0,s008,0,167.34897708,46.83168701,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20170605_11,719.475,18,927.6499999999999,1081.65,1344.825,534.675,278.64208057999997,396.6249999999999,65.0,0,2017-06-05,9.0,63.557550205232616,-124.15494998723467,-0.24399511516094208,1.0,s008_ref,0,166.23407771,49.24945668,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20170621_10,664.7500000000001,15,981.0000000000002,1200.45,1249.1249999999998,248.4,289.93180064,207.69999999999982,30.0,49,2017-06-21,9.0,63.66944020518405,-124.03920998715267,-0.595810055732727,1.0,s008,0,164.93063163,49.95656124,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20170621_11,478.575,22,741.4749999999998,924.625,907.85,274.25000000000006,289.59683468000003,207.42499999999998,30.0,0,2017-06-21,9.0,63.557550205232616,-124.15494998723467,-0.44148001074790955,32.0,s008_ref,0,164.93063163,49.95656124,"{""type"":""MultiPoint"",""coordinates"":[]}"
