site_no,station_nm,month,year,decade,Latitude,Longitude,sample_dt,num_pix,B1,B2,B3,B4,B6,cluster,SSC_mgL,ten_day,reference,fractional_day,fractional_2month
st_s002,st_s002,5,2006,2005,68.6937602052197,-131.64161998437,2006-05-31,5,342,378,479,428,289,3,211.978220848254,150,"Affected, Post-slump",2006.41369863014,2006.33333333333
st_s002,st_s002,6,2009,2005,68.6937602052197,-131.64161998437,2009-06-08,5,291,349,438,380,290,3,126.745379609084,150,"Affected, Post-slump",2009.43561643836,2009.5
st_s002,st_s002,5,2011,2010,68.6937602052197,-131.64161998437,2011-05-29,1,369,475,559,482,294,3,99.5953757444014,140,"Affected, Post-slump",2011.40821917808,2011.33333333333
st_s002,st_s002,6,1984,1990,68.6937602052197,-131.64161998437,1984-06-10,3,293,420,464,454,293,3,68.1484532045862,160,"Affected, Pre-slump",1984.44383561644,1984.5
st_s002,st_s002,7,1985,1990,68.6937602052197,-131.64161998437,1985-07-15,1,445,624,575,1039,284,3,60.5379948278117,190,"Affected, Pre-slump",1985.53698630137,1985.5
st_s002,st_s002,6,1987,1990,68.6937602052197,-131.64161998437,1987-06-03,8,426,526,600,603,286,3,110.750023039058,150,"Affected, Pre-slump",1987.42191780822,1987.5
st_s002,st_s002,6,1989,1990,68.6937602052197,-131.64161998437,1989-06-08,2,286,333,370,319,293,3,62.9385520644952,150,"Affected, Pre-slump",1989.43561643836,1989.5
st_s002,st_s002,6,1991,1990,68.6937602052197,-131.64161998437,1991-06-14,2,281,381,392,344,292,3,33.2771430474057,160,"Affected, Pre-slump",1991.45205479452,1991.5
st_s002,st_s002,5,1992,1990,68.6937602052197,-131.64161998437,1992-05-31,9,777,936,1058,1226,280,3,168.494117293214,150,"Affected, Pre-slump",1992.41643835616,1992.33333333333
st_s002,st_s002,7,1993,1990,68.6937602052197,-131.64161998437,1993-07-05,1,501,672,685,1043,297,3,84.2038817486104,180,"Affected, Pre-slump",1993.5095890411,1993.5
st_s002,st_s002,5,1994,1990,68.6937602052197,-131.64161998437,1994-05-21,8,398,493,612,517,286,3,177.035103018224,140,"Affected, Pre-slump",1994.38630136986,1994.33333333333
st_s002,st_s002,6,1994,1990,68.6937602052197,-131.64161998437,1994-06-06,5,241,326,396,325,291,3,82.456870363324,150,"Affected, Pre-slump",1994.4301369863,1994.5
st_s002,st_s002,5,1995,1995,68.6937602052197,-131.64161998437,1995-05-08,11,544,476,607,632,281,3,172.873339327483,120,"Affected, Pre-slump",1995.35068493151,1995.33333333333
st_s002,st_s002,5,1995,1995,68.6937602052197,-131.64161998437,1995-05-24,8,793,816,865,862,279,3,96.8345769087284,140,"Affected, Pre-slump",1995.39452054795,1995.33333333333
st_s002,st_s002,8,1998,1995,68.6937602052197,-131.64161998437,1998-08-20,3,479,634,659,1068,293,3,145.506191918856,230,"Affected, Post-slump",1998.63561643836,1998.66666666667
st_s002,st_s002,7,2004,2000,68.6937602052197,-131.64161998437,2004-07-19,51,343,377,274,754,294,3,13.1758308665439,200,"Affected, Post-slump",2004.55068493151,2004.5
st_s002,st_s002,6,2005,2005,68.6937602052197,-131.64161998437,2005-06-04,3,232,304,341,265,291,3,92.6153606649865,150,"Affected, Post-slump",2005.42465753425,2005.5
st_s002,st_s002,6,2005,2005,68.6937602052197,-131.64161998437,2005-06-20,1,180,346,374,308,292,3,43.9366998071489,170,"Affected, Post-slump",2005.46849315068,2005.5
st_s002,st_s002,8,2005,2005,68.6937602052197,-131.64161998437,2005-08-07,11,646,716,616,1217,294,3,29.4785995473009,210,"Affected, Post-slump",2005.6,2005.66666666667
st_s002,st_s002,6,2006,2005,68.6937602052197,-131.64161998437,2006-06-07,4,329,419,432,404,294,3,46.4963868701826,150,"Affected, Post-slump",2006.43287671233,2006.5
st_s002,st_s002,7,2006,2005,68.6937602052197,-131.64161998437,2006-07-09,1,158,203,262,352,291,3,253.480017276332,190,"Affected, Post-slump",2006.52054794521,2006.5
st_s002,st_s002,8,2008,2005,68.6937602052197,-131.64161998437,2008-08-15,1,326,526,434,1102,288,3,73.7168875532693,220,"Affected, Post-slump",2008.62465753425,2008.66666666667
st_s002,st_s002,8,2009,2005,68.6937602052197,-131.64161998437,2009-08-18,32,246,253,215,510,290,3,22.6196899792746,230,"Affected, Post-slump",2009.6301369863,2009.66666666667
st_s002,st_s002,9,2009,2005,68.6937602052197,-131.64161998437,2009-09-03,5,380,514,576,564,290,3,77.6209935435699,240,"Affected, Post-slump",2009.67397260274,2009.66666666667
st_s002,st_s002,6,2011,2010,68.6937602052197,-131.64161998437,2011-06-05,6,253,348,415,353,295,3,79.4739710370081,150,"Affected, Post-slump",2011.42739726027,2011.5
st_s002,st_s002,6,1986,1990,68.6937602052197,-131.64161998437,1986-06-07,6,323,421,504,496,284,3,148.911598372432,150,"Affected, Pre-slump",1986.43287671233,1986.5
st_s002,st_s002,6,1988,1990,68.6937602052197,-131.64161998437,1988-06-28,16,210,257,174,350,295,3,5.06107086724235,180,"Affected, Pre-slump",1988.49315068493,1988.5
st_s002,st_s002,8,1992,1990,68.6937602052197,-131.64161998437,1992-08-26,14,573,651,627,1040,287,3,46.0199689996449,230,"Affected, Pre-slump",1992.65479452055,1992.66666666667
st_s002,st_s002,6,1993,1990,68.6937602052197,-131.64161998437,1993-06-10,2,318,415,449,431,293,3,56.3974723730643,160,"Affected, Pre-slump",1993.44109589041,1993.5
st_s002,st_s002,7,1994,1990,68.6937602052197,-131.64161998437,1994-07-31,2,232,297,258,415,294,3,28.3049526015493,210,"Affected, Pre-slump",1994.58082191781,1994.5
st_s002,st_s002,6,1997,1995,68.6937602052197,-131.64161998437,1997-06-05,7,285,420,471,456,290,3,73.4917537134303,150,"Affected, Pre-slump",1997.42739726027,1997.5
st_s002,st_s002,6,2005,2005,68.6937602052197,-131.64161998437,2005-06-11,1,229,344,374,355,297,3,80.592883084536,160,"Affected, Post-slump",2005.44383561644,2005.5
st_s002,st_s002,6,2006,2005,68.6937602052197,-131.64161998437,2006-06-14,1,225,275,243,368,295,3,34.9375751263808,160,"Affected, Post-slump",2006.45205479452,2006.5
st_s002,st_s002,6,2006,2005,68.6937602052197,-131.64161998437,2006-06-30,8,441,573,679,930,293,3,209.834649865722,180,"Affected, Post-slump",2006.49589041096,2006.5
st_s002,st_s002,6,2008,2005,68.6937602052197,-131.64161998437,2008-06-03,1,295,408,347,451,294,3,23.5493611270035,150,"Affected, Post-slump",2008.42465753425,2008.5
st_s002,st_s002,6,2008,2005,68.6937602052197,-131.64161998437,2008-06-19,14,225,262,195,331,286,3,7.47761829638436,170,"Affected, Post-slump",2008.46849315068,2008.5
st_s002,st_s002,6,2009,2005,68.6937602052197,-131.64161998437,2009-06-06,7,325,462,540,492,293,3,112.120254494575,150,"Affected, Post-slump",2009.4301369863,2009.5
st_s002,st_s002,5,2010,2010,68.6937602052197,-131.64161998437,2010-05-24,4,276,326,393,345,290,3,112.366848139367,140,"Affected, Post-slump",2010.39452054795,2010.33333333333
st_s002,st_s002,7,2010,2010,68.6937602052197,-131.64161998437,2010-07-27,1,240,220,237,435,297,3,157.087651876247,200,"Affected, Post-slump",2010.5698630137,2010.5
st_s002,st_s002,5,2011,2010,68.6937602052197,-131.64161998437,2011-05-27,3,407,583,605,797,292,3,70.5150605171746,140,"Affected, Post-slump",2011.40273972603,2011.33333333333
st_s002,st_s002,8,2011,2010,68.6937602052197,-131.64161998437,2011-08-31,2,441,650,677,586,285,3,58.4678898526157,240,"Affected, Post-slump",2011.66575342466,2011.66666666667
st_s002,st_s002,8,1988,1990,68.6937602052197,-131.64161998437,1988-08-06,5,512,676,563,1018,292,3,29.1468973754456,210,"Affected, Pre-slump",1988.6,1988.66666666667
st_s002,st_s002,8,1989,1990,68.6937602052197,-131.64161998437,1989-08-09,3,468,629,579,1094,301,3,59.2565027762433,220,"Affected, Pre-slump",1989.60547945205,1989.66666666667
st_s002,st_s002,6,1996,1995,68.6937602052197,-131.64161998437,1996-06-09,7,323,408,463,453,293,3,75.2659704237419,160,"Affected, Pre-slump",1996.44109589041,1996.5
st_s002,st_s002,6,1998,1995,68.6937602052197,-131.64161998437,1998-06-15,12,312,360,310,505,292,3,19.657825241905,160,"Affected, Post-slump",1998.45479452055,1998.5
st_s002,st_s002,6,1999,1995,68.6937602052197,-131.64161998437,1999-06-02,5,329,419,431,363,291,3,39.082914610969,150,"Affected, Post-slump",1999.41917808219,1999.5
st_s002,st_s002,7,1999,1995,68.6937602052197,-131.64161998437,1999-07-04,1,353,640,573,1110,293,3,105.764851710208,180,"Affected, Post-slump",1999.50684931507,1999.5
st_s002,st_s002,6,2006,2005,68.6937602052197,-131.64161998437,2006-06-05,12,402,461,500,392,285,3,62.4597648784444,150,"Affected, Post-slump",2006.42739726027,2006.5
st_s002,st_s002,6,2008,2005,68.6937602052197,-131.64161998437,2008-06-10,1,182,227,241,233,291,3,34.9544862254919,160,"Affected, Post-slump",2008.44383561644,2008.5
st_s002,st_s002,7,2008,2005,68.6937602052197,-131.64161998437,2008-07-12,2,340,540,495,1040,295,3,77.6696439718916,190,"Affected, Post-slump",2008.53150684932,2008.5
st_s002,st_s002,7,2008,2005,68.6937602052197,-131.64161998437,2008-07-28,4,422,616,502,1069,299,3,34.9051439024847,210,"Affected, Post-slump",2008.57534246575,2008.5
st_s002,st_s002,5,2009,2005,68.6937602052197,-131.64161998437,2009-05-28,3,469,630,641,614,289,3,70.4932909995888,140,"Affected, Post-slump",2009.40547945206,2009.33333333333
st_s002,st_s002,9,2010,2010,68.6937602052197,-131.64161998437,2010-09-04,1,221,369,462,423,283,3,110.286633397966,240,"Affected, Post-slump",2010.67671232877,2010.66666666667
st_s002,st_s002,6,2011,2010,68.6937602052197,-131.64161998437,2011-06-03,9,253,411,428,406,286,3,66.1450022428901,150,"Affected, Post-slump",2011.42191780822,2011.5
st_s002,st_s002,8,1988,1990,68.6937602052197,-131.64161998437,1988-08-06,6,511,672,561,1016,292,3,29.0139685955411,210,"Affected, Pre-slump",1988.6,1988.66666666667
st_s002,st_s002,8,1989,1990,68.6937602052197,-131.64161998437,1989-08-09,3,440,605,557,1080,301,3,61.5800686830867,220,"Affected, Pre-slump",1989.60547945205,1989.66666666667
st_s002,st_s002,6,1996,1995,68.6937602052197,-131.64161998437,1996-06-09,7,310,397,456,450,293,3,78.6193183062386,160,"Affected, Pre-slump",1996.44109589041,1996.5
st_s002,st_s002,7,1997,1995,68.6937602052197,-131.64161998437,1997-07-30,1,234,270,278,412,291,3,133.226562255669,210,"Affected, Pre-slump",1997.57808219178,1997.5
st_s002,st_s002,6,1998,1995,68.6937602052197,-131.64161998437,1998-06-15,11,308,356,306,506,292,3,17.0564414154567,160,"Affected, Post-slump",1998.45479452055,1998.5
st_s002,st_s002,6,1999,1995,68.6937602052197,-131.64161998437,1999-06-02,6,350,415,429,363,292,3,29.1430280327897,150,"Affected, Post-slump",1999.41917808219,1999.5
st_s002,st_s002,7,1999,1995,68.6937602052197,-131.64161998437,1999-07-04,1,372,648,580,1105,293,3,105.883197873479,180,"Affected, Post-slump",1999.50684931507,1999.5
st_s002,st_s002,8,1999,1995,68.6937602052197,-131.64161998437,1999-08-21,3,489,763,670,1222,290,3,43.7858840784351,230,"Affected, Post-slump",1999.63835616438,1999.66666666667
st_s002,st_s002,6,2006,2005,68.6937602052197,-131.64161998437,2006-06-05,11,393,453,494,388,286,3,63.8523402068396,150,"Affected, Post-slump",2006.42739726027,2006.5
st_s002,st_s002,6,2008,2005,68.6937602052197,-131.64161998437,2008-06-10,1,180,223,238,232,291,3,35.2498431382049,160,"Affected, Post-slump",2008.44383561644,2008.5
st_s002,st_s002,7,2008,2005,68.6937602052197,-131.64161998437,2008-07-28,3,427,596,532,1121,299,3,55.9369859440779,210,"Affected, Post-slump",2008.57534246575,2008.5
st_s002,st_s002,8,1999,1995,68.6937602052197,-131.64161998437,1999-08-24,4,598,859,867,1133,287,3,108.572564103831,230,"Affected, Post-slump",1999.64657534247,1999.66666666667
st_s002,st_s002,6,2000,2000,68.6937602052197,-131.64161998437,2000-06-07,6,643,619,674,768,286,3,64.5143384384942,150,"Affected, Post-slump",2000.43561643836,2000.5
st_s002,st_s002,8,2000,2000,68.6937602052197,-131.64161998437,2000-08-10,29,172,190,96,270,289,3,2.43571629310072,220,"Affected, Post-slump",2000.61095890411,2000.66666666667
st_s002,st_s002,6,2001,2000,68.6937602052197,-131.64161998437,2001-06-10,5,260,268,264,300,287,3,52.149883259566,160,"Affected, Post-slump",2001.44109589041,2001.5
st_s002,st_s002,6,2001,2000,68.6937602052197,-131.64161998437,2001-06-26,1,198,188,183,396,291,3,64.7006071865168,170,"Affected, Post-slump",2001.48493150685,2001.5
st_s002,st_s002,7,2001,2000,68.6937602052197,-131.64161998437,2001-07-28,14,148,131,80,245,290,3,3.94241882455019,200,"Affected, Post-slump",2001.57260273973,2001.5
st_s002,st_s002,7,2006,2005,68.6937602052197,-131.64161998437,2006-07-10,1,157,205,199,433,290,3,86.9302632680597,190,"Affected, Post-slump",2006.52328767123,2006.5
st_s002,st_s002,5,2009,2005,68.6937602052197,-131.64161998437,2009-05-31,2,425,529,634,865,285,3,254.089429407686,150,"Affected, Post-slump",2009.41369863014,2009.33333333333
st_s002,st_s002,7,2012,2010,68.6937602052197,-131.64161998437,2012-07-10,2,590,773,850,1307,285,3,172.439086789712,190,"Affected, Post-slump",2012.52602739726,2012.5
st_s002,st_s002,7,2012,2010,68.6937602052197,-131.64161998437,2012-07-26,10,389,576,634,1151,295,3,230.651756745333,200,"Affected, Post-slump",2012.5698630137,2012.5
st_s002,st_s002,5,2014,2010,68.6937602052197,-131.64161998437,2014-05-29,1,429,548,636,1021,290,3,230.234500727636,140,"Affected, Post-slump",2014.40821917808,2014.33333333333
st_s002,st_s002,8,2016,2015,68.6937602052197,-131.64161998437,2016-08-06,3,345,556,652,1094,290,3,268.031336571199,210,"Affected, Post-slump",2016.6,2016.66666666667
st_s002,st_s002,5,2017,2015,68.6937602052197,-131.64161998437,2017-05-21,17,407,503,570,707,284,3,112.38390850269,140,"Affected, Post-slump",2017.38630136986,2017.33333333333
st_s002,st_s002,6,2017,2015,68.6937602052197,-131.64161998437,2017-06-22,1,142,182,217,286,294,3,103.274361000518,170,"Affected, Post-slump",2017.47397260274,2017.5
st_s002,st_s002,8,2017,2015,68.6937602052197,-131.64161998437,2017-08-09,11,144,142,81,227,295,3,3.63184405828395,220,"Affected, Post-slump",2017.60547945206,2017.66666666667
st_s002,st_s002,6,2019,2015,68.6937602052197,-131.64161998437,2019-06-28,1,326,459,555,666,290,3,338.476926084282,170,"Affected, Post-slump",2019.4904109589,2019.5
st_s002,st_s002,7,2019,2015,68.6937602052197,-131.64161998437,2019-07-30,2,439,699,665,1267,293,3,118.30326713476,210,"Affected, Post-slump",2019.57808219178,2019.5
st_s002,st_s002,7,2021,2015,68.6937602052197,-131.64161998437,2021-07-19,5,513,696,725,1285,292,3,128.44835746857,200,"Affected, Post-slump",2021.54794520548,2021.5
st_s002,st_s002,8,2021,2015,68.6937602052197,-131.64161998437,2021-08-04,4,345,578,514,1199,293,3,99.4819272523374,210,"Affected, Post-slump",2021.59178082192,2021.66666666667
st_s002,st_s002,6,2022,2015,68.6937602052197,-131.64161998437,2022-06-19,4,187,201,201,372,285,3,87.0984996891651,170,"Affected, Post-slump",2022.46575342466,2022.5
st_s002,st_s002,7,2022,2015,68.6937602052197,-131.64161998437,2022-07-06,13,432,592,560,1189,299,3,93.6498350747221,180,"Affected, Post-slump",2022.51232876712,2022.5
st_s002,st_s002,6,2023,2015,68.6937602052197,-131.64161998437,2023-06-02,1,278,380,442,499,286,3,353.774415622376,150,"Affected, Post-slump",2023.41917808219,2023.5
st_s002,st_s002,6,2023,2015,68.6937602052197,-131.64161998437,2023-06-29,2,428,583,564,1305,298,3,110.068988513892,180,"Affected, Post-slump",2023.49315068493,2023.5
st_s002,st_s002,7,2023,2015,68.6937602052197,-131.64161998437,2023-07-21,2,299,494,447,1251,301,3,171.646966336444,200,"Affected, Post-slump",2023.55342465753,2023.5
st_s002,st_s002,6,2000,2000,68.6937602052197,-131.64161998437,2000-06-14,9,528,531,520,597,286,3,71.9798752267426,160,"Affected, Post-slump",2000.45479452055,2000.5
st_s002,st_s002,7,2001,2000,68.6937602052197,-131.64161998437,2001-07-03,1,174,258,267,398,297,3,60.8290500141322,180,"Affected, Post-slump",2001.50410958904,2001.5
st_s002,st_s002,7,2007,2005,68.6937602052197,-131.64161998437,2007-07-04,2,213,326,342,626,297,3,95.8232217753847,180,"Affected, Post-slump",2007.50684931507,2007.5
st_s002,st_s002,8,2010,2010,68.6937602052197,-131.64161998437,2010-08-29,16,276,267,216,373,286,3,18.9790150687749,240,"Affected, Post-slump",2010.6602739726,2010.66666666667
st_s002,st_s002,5,2012,2010,68.6937602052197,-131.64161998437,2012-05-30,8,480,552,694,708,289,3,189.239978700886,150,"Affected, Post-slump",2012.41369863014,2012.33333333333
st_s002,st_s002,8,2012,2010,68.6937602052197,-131.64161998437,2012-08-18,6,436,595,685,1140,294,3,248.476867112035,230,"Affected, Post-slump",2012.63287671233,2012.66666666667
st_s002,st_s002,9,2013,2010,68.6937602052197,-131.64161998437,2013-09-06,1,450,466,531,638,283,3,175.887786094484,240,"Affected, Post-slump",2013.68219178082,2013.66666666667
st_s002,st_s002,6,2014,2010,68.6937602052197,-131.64161998437,2014-06-05,4,440,484,616,571,286,3,286.800306755544,150,"Affected, Post-slump",2014.42739726027,2014.5
st_s002,st_s002,7,2014,2010,68.6937602052197,-131.64161998437,2014-07-23,11,571,801,815,1408,295,3,120.130911892964,200,"Affected, Post-slump",2014.55890410959,2014.5
st_s002,st_s002,7,2016,2015,68.6937602052197,-131.64161998437,2016-07-28,1,273,412,481,1120,299,3,486.30564226266,210,"Affected, Post-slump",2016.57534246575,2016.5
st_s002,st_s002,8,2016,2015,68.6937602052197,-131.64161998437,2016-08-13,1,414,555,737,787,292,3,513.926322896109,220,"Affected, Post-slump",2016.61917808219,2016.66666666667
st_s002,st_s002,7,2018,2015,68.6937602052197,-131.64161998437,2018-07-18,7,256,425,427,846,290,3,169.27930082662,190,"Affected, Post-slump",2018.54520547945,2018.5
st_s002,st_s002,6,2020,2015,68.6937602052197,-131.64161998437,2020-06-05,24,241,223,177,199,282,3,11.6713277733326,150,"Affected, Post-slump",2020.4301369863,2020.5
st_s002,st_s002,7,2020,2015,68.6937602052197,-131.64161998437,2020-07-23,5,255,431,470,815,289,3,175.757856493722,200,"Affected, Post-slump",2020.56164383562,2020.5
st_s002,st_s002,8,2020,2015,68.6937602052197,-131.64161998437,2020-08-24,8,452,641,684,1103,293,3,131.509475217365,230,"Affected, Post-slump",2020.64931506849,2020.66666666667
st_s002,st_s002,5,2021,2015,68.6937602052197,-131.64161998437,2021-05-23,2,469,570,715,956,282,3,472.331757620287,140,"Affected, Post-slump",2021.39178082192,2021.33333333333
st_s002,st_s002,8,2021,2015,68.6937602052197,-131.64161998437,2021-08-11,7,604,757,779,1440,288,3,101.748693636766,220,"Affected, Post-slump",2021.61095890411,2021.66666666667
st_s002,st_s002,8,2021,2015,68.6937602052197,-131.64161998437,2021-08-27,3,644,795,821,1247,286,3,92.0343819418689,230,"Affected, Post-slump",2021.65479452055,2021.66666666667
st_s002,st_s002,6,2023,2015,68.6937602052197,-131.64161998437,2023-06-12,1,234,317,319,356,290,3,51.9255112260739,160,"Affected, Post-slump",2023.44657534247,2023.5
st_s002,st_s002,7,2023,2015,68.6937602052197,-131.64161998437,2023-07-04,1,337,515,545,1103,301,3,214.065626476433,180,"Affected, Post-slump",2023.50684931507,2023.5
st_s002,st_s002,6,2000,2000,68.6937602052197,-131.64161998437,2000-06-21,7,240,325,454,451,291,3,409.398799151475,170,"Affected, Post-slump",2000.47397260274,2000.5
st_s002,st_s002,7,2000,2000,68.6937602052197,-131.64161998437,2000-07-23,1,168,270,315,468,296,3,200.570685315262,200,"Affected, Post-slump",2000.56164383562,2000.5
st_s002,st_s002,7,2004,2000,68.6937602052197,-131.64161998437,2004-07-02,5,358,501,479,1027,294,3,92.0776281533809,180,"Affected, Post-slump",2004.50410958904,2004.5
st_s002,st_s002,7,2006,2005,68.6937602052197,-131.64161998437,2006-07-08,2,151,191,216,427,290,3,204.113694839648,180,"Affected, Post-slump",2006.51780821918,2006.5
st_s002,st_s002,7,2007,2005,68.6937602052197,-131.64161998437,2007-07-11,1,265,399,310,1046,302,3,52.5914063207673,190,"Affected, Post-slump",2007.52602739726,2007.5
st_s002,st_s002,9,2009,2005,68.6937602052197,-131.64161998437,2009-09-02,1,422,465,575,562,287,3,183.443464050641,240,"Affected, Post-slump",2009.67123287671,2009.66666666667
st_s002,st_s002,9,2010,2010,68.6937602052197,-131.64161998437,2010-09-05,2,182,269,209,446,283,3,44.4532460189139,240,"Affected, Post-slump",2010.67945205479,2010.66666666667
st_s002,st_s002,8,2012,2010,68.6937602052197,-131.64161998437,2012-08-09,5,330,520,623,1119,294,3,374.75740604916,220,"Affected, Post-slump",2012.60821917808,2012.66666666667
st_s002,st_s002,6,2013,2010,68.6937602052197,-131.64161998437,2013-06-09,2,443,557,690,845,286,3,180.18283366984,160,"Affected, Post-slump",2013.43835616438,2013.5
st_s002,st_s002,8,2013,2010,68.6937602052197,-131.64161998437,2013-08-12,5,435,603,624,1234,299,3,143.95813797843,220,"Affected, Post-slump",2013.61369863014,2013.66666666667
st_s002,st_s002,6,2014,2010,68.6937602052197,-131.64161998437,2014-06-12,1,282,304,317,440,295,3,60.6818422031682,160,"Affected, Post-slump",2014.44657534247,2014.5
st_s002,st_s002,7,2014,2010,68.6937602052197,-131.64161998437,2014-07-30,11,468,520,476,1132,281,3,68.7727332450699,210,"Affected, Post-slump",2014.57808219178,2014.5
st_s002,st_s002,7,2015,2015,68.6937602052197,-131.64161998437,2015-07-01,2,454,528,430,1169,297,3,37.8345541583822,180,"Affected, Post-slump",2015.49863013699,2015.5
st_s002,st_s002,6,2016,2015,68.6937602052197,-131.64161998437,2016-06-17,2,503,590,622,962,281,3,98.6150714918122,160,"Affected, Post-slump",2016.46301369863,2016.5
st_s002,st_s002,5,2017,2015,68.6937602052197,-131.64161998437,2017-05-19,4,700,784,874,1150,281,3,142.955195633736,130,"Affected, Post-slump",2017.38082191781,2017.33333333333
st_s002,st_s002,8,2017,2015,68.6937602052197,-131.64161998437,2017-08-23,1,378,566,616,1098,293,3,158.796817089876,230,"Affected, Post-slump",2017.64383561644,2017.66666666667
st_s002,st_s002,6,2018,2015,68.6937602052197,-131.64161998437,2018-06-07,1,266,306,312,360,286,3,90.2783953106605,150,"Affected, Post-slump",2018.43287671233,2018.5
st_s002,st_s002,7,2018,2015,68.6937602052197,-131.64161998437,2018-07-25,1,392,555,590,1040,296,3,182.965210540518,200,"Affected, Post-slump",2018.56438356164,2018.5
st_s002,st_s002,7,2019,2015,68.6937602052197,-131.64161998437,2019-07-28,6,471,747,748,1201,297,3,132.944718156632,200,"Affected, Post-slump",2019.57260273973,2019.5
st_s002,st_s002,5,2020,2015,68.6937602052197,-131.64161998437,2020-05-27,3,449,558,702,708,279,3,261.2832356949,140,"Affected, Post-slump",2020.40547945205,2020.33333333333
st_s002,st_s002,7,2020,2015,68.6937602052197,-131.64161998437,2020-07-30,10,661,852,830,1487,295,3,94.6990241070353,210,"Affected, Post-slump",2020.58082191781,2020.5
st_s002,st_s002,6,2021,2015,68.6937602052197,-131.64161998437,2021-06-15,1,278,384,418,509,295,3,148.360459322539,160,"Affected, Post-slump",2021.45479452055,2021.5
st_s002,st_s002,7,2021,2015,68.6937602052197,-131.64161998437,2021-07-17,2,372,572,526,1112,299,3,109.437462725396,190,"Affected, Post-slump",2021.54246575343,2021.5
st_s002,st_s002,7,2022,2015,68.6937602052197,-131.64161998437,2022-07-16,5,498,715,742,1191,291,3,157.422938254277,190,"Affected, Post-slump",2022.5397260274,2022.5
st_s002,st_s002,7,2023,2015,68.6937602052197,-131.64161998437,2023-07-09,4,334,588,615,1103,298,3,225.11204791426,190,"Affected, Post-slump",2023.52054794521,2023.5
st_s002,st_s002,7,1999,1995,68.6937602052197,-131.64161998437,1999-07-12,11,162,192,163,394,288,3,29.1639609583392,190,"Affected, Post-slump",1999.52876712329,1999.5
st_s002,st_s002,7,1999,1995,68.6937602052197,-131.64161998437,1999-07-28,6,157,188,156,383,287,3,39.2067530332003,200,"Affected, Post-slump",1999.57260273973,1999.5
st_s002,st_s002,6,2000,2000,68.6937602052197,-131.64161998437,2000-06-12,5,441,549,631,846,287,3,174.601105636362,160,"Affected, Post-slump",2000.44931506849,2000.5
