system:index,control,label,mean,net_change,.geo
10_10,2.637009534965846,10,2.599259676678783,-0.037749858287062565,"{""type"":""Polygon"",""coordinates"":[[[-120.47987722695328,72.00681677111126],[-120.48191142916656,72.00672722178591],[-120.48378365398806,72.00646570440293],[-120.48534483456339,72.00605304237635],[-120.48647069208205,72.00552209232745],[-120.48707163112503,72.00491512597475],[-120.48709986432618,72.00428046277891],[-120.4865532014554,72.00366862217294],[-120.48547520593156,72.00312830214042],[-120.48395171187114,72.00270250426968],[-120.48210398368748,72.0024251132884],[-120.4800790652305,72.00231820257942],[-120.47803808611496,72.00239027930422],[-120.47614345261582,72.00263560814719],[-120.47454593749279,72.00303466722534],[-120.47337269097982,72.0035557000673],[-120.47271712336452,72.00415724073545],[-120.47263146333673,72.00479141193208],[-120.47312258638868,72.00540773436542],[-120.47415144975362,72.00595714467116],[-120.47563618440628,72.00639590213457],[-120.47745860293738,72.00668907284015],[-120.47947360805685,72.00681331316463],[-120.47987722695328,72.00681677111126]]]}"
11_11,4.484446018811565,11,4.231124240633161,-0.25332177817840407,"{""type"":""Polygon"",""coordinates"":[[[-120.59515431644606,71.71323554300291],[-120.59715695106888,71.71314599385971],[-120.59900012286002,71.71288447696635],[-120.60053707881038,71.71247181558398],[-120.60164546867597,71.71194086613285],[-120.60223708672227,71.71133390014488],[-120.60226488599821,71.71069923696697],[-120.601726708962,71.71008739602654],[-120.6006654419701,71.70954707541156],[-120.59916558671576,71.70912127689213],[-120.59734652614885,71.70884388539832],[-120.59535302332166,71.70873697447286],[-120.59334370891173,71.70880905134477],[-120.59147847048771,71.70905438065252],[-120.58990574226013,71.70945344036816],[-120.58875070181415,71.70997447382142],[-120.58810530959076,71.71057601488393],[-120.58802098284355,71.71121018613486],[-120.58850448908939,71.71182650826553],[-120.58951739021775,71.712375918006],[-120.59097908687332,71.71281467481799],[-120.59277322555319,71.7131078449893],[-120.59475696110603,71.71323208506345],[-120.59515431644606,71.71323554300291]]]}"
12_12,1.636671586961721,12,1.6505558441884156,0.013884257226694618,"{""type"":""Polygon"",""coordinates"":[[[-121.34176864405744,71.86553844042629],[-121.34378752528156,71.8654488911893],[-121.34564564953195,71.86518737404386],[-121.34719507295614,71.8647747123298],[-121.34831245275244,71.86424376257091],[-121.34890886796751,71.86363679639514],[-121.34893689058345,71.86300213320798],[-121.34839434623014,71.86239029243977],[-121.34732446971769,71.86184997212469],[-121.3458124484839,71.86142417393924],[-121.34397863379537,71.86114678270933],[-121.34196896254569,71.86103987189531],[-121.33994335152313,71.86111194869149],[-121.3380629845816,71.86135727775994],[-121.3364774994957,71.86175633714736],[-121.33531308909757,71.86227737028587],[-121.33466246000641,71.86287891114534],[-121.33457744708672,71.8635130823683],[-121.33506487342139,71.8641294046548],[-121.33608598970241,71.86467881468633],[-121.3375595431221,71.86511757183372],[-121.33936823633722,71.8654107422801],[-121.34136806511059,71.86553498248314],[-121.34176864405744,71.86553844042629]]]}"
13_13,2.4673871491237,13,2.6076631143856797,0.1402759652619796,"{""type"":""Polygon"",""coordinates"":[[[-120.74850830131422,71.81673629864737],[-120.75052194649258,71.81664674944061],[-120.75237525178133,71.81638523237636],[-120.75392065712026,71.81597257076919],[-120.7550351395946,71.81544162110946],[-120.75563000875522,71.8148346549942],[-120.75565795939552,71.81419999181001],[-120.7551168225678,71.81358815098632],[-120.75404972077972,71.8130478305746],[-120.75254162046303,71.81262203228155],[-120.75071256081024,71.81234464096661],[-120.74870810040362,71.81223773011669],[-120.74668774153783,71.81230980693726],[-120.74481225029402,71.81255513608282],[-120.74323087655651,71.81295419557598],[-120.74206948595834,71.8134752288159],[-120.74142054463603,71.8140767697408],[-120.74133575286331,71.81471094097277],[-120.74182191581374,71.81532726320907],[-120.74284038447283,71.81587667314682],[-120.74431011663044,71.81631543018615],[-120.74611411912937,71.8166086005439],[-120.7481087612895,71.81673284070541],[-120.74850830131422,71.81673629864737]]]}"
14_14,3.0782373807369487,14,3.0378064846150767,-0.040430896121872006,"{""type"":""Polygon"",""coordinates"":[[[-120.9153581392556,71.95859963081793],[-120.9173870850816,71.95851008152289],[-120.91925447222262,71.95824856422138],[-120.92081161910865,71.95783590230198],[-120.9219345680589,71.95730495235256],[-120.92253395505226,71.95669798606055],[-120.92256211600831,71.95606332286768],[-120.9220168661372,71.95545148220606],[-120.92094165611661,71.95491116207663],[-120.91942209819753,71.95448536409796],[-120.91757914350745,71.95420797303139],[-120.91555945611809,71.95410106228638],[-120.913523749544,71.95417313903567],[-120.91163401066818,71.95441846795596],[-120.91004062285606,71.9548175271402],[-120.90887040787263,71.95533856008386],[-120.90821653458786,71.95594010081764],[-120.90813109657566,71.9565742720233],[-120.90862095134649,71.9571905944063],[-120.90964715681362,71.95774000461796],[-120.91112805536561,71.95817876197299],[-120.91294576496043,71.95847193258966],[-120.91495556331746,71.95859617287249],[-120.9153581392556,71.95859963081793]]]}"
15_15,5.046372047374258,15,4.667018195995257,-0.37935385137900113,"{""type"":""Polygon"",""coordinates"":[[[-121.27027635734156,72.00484941434652],[-121.27231034452251,72.00475986502241],[-121.27418237144047,72.00449834764277],[-121.27574338700259,72.00408568562057],[-121.27686912553534,72.00355473557575],[-121.27747000108597,72.0029477692255],[-121.2774982313317,72.00231310602977],[-121.27695162626503,72.00170126542154],[-121.27587374469272,72.00116094538507],[-121.27435041165495,72.00073514750991],[-121.27250287874895,72.00045775652515],[-121.27047817428836,72.00035084581468],[-121.26843741086587,72.0004229225405],[-121.26654297759961,72.00066825138661],[-121.26494563131978,72.0010673104691],[-121.26377250882294,72.00158834331522],[-121.26311701052063,72.00218988398608],[-121.26303135957528,72.00282405518307],[-121.2635224307435,72.00344037761434],[-121.26455118537717,72.00398978791624],[-121.26603576309974,72.00442854537522],[-121.26785798899408,72.00472171607716],[-121.26987278111129,72.00484595639993],[-121.27027635734156,72.00484941434652]]]}"
16_16,8.468833514228105,16,8.475323334341093,0.006489820112987488,"{""type"":""Polygon"",""coordinates"":[[[-121.36884815558125,72.09726323649066],[-121.37089229554819,72.09717368710803],[-121.37277366651216,72.09691216957108],[-121.37434247319646,72.0964995073419],[-121.37547382966125,72.09596855710505],[-121.376077703007,72.09536159063764],[-121.3761060727856,72.09472692743616],[-121.37555673848443,72.09411508693537],[-121.37447347667394,72.09357476708601],[-121.37294254093155,72.09314896941926],[-121.37108578796952,72.09287157859916],[-121.3690509796461,72.09276466795825],[-121.36700003225386,72.0928367446368],[-121.36509614496875,72.09308207333359],[-121.36349082673892,72.09348113221128],[-121.36231184880204,72.09400216486101],[-121.36165307787186,72.09460370540516],[-121.36156699809113,72.09523787658469],[-121.36206051895165,72.09585419911322],[-121.36309440734306,72.0964036095967],[-121.36458639454196,72.09684236726498],[-121.3664177158103,72.09713553813857],[-121.36844256486226,72.09725977854178],[-121.36884815558125,72.09726323649066]]]}"
17_17,-0.14848270057725552,17,-0.32457639587018317,-0.17609369529292765,"{""type"":""Polygon"",""coordinates"":[[[-121.4442860379758,71.76156544050835],[-121.44629379816165,71.76147589133554],[-121.44814168723389,71.76121437436261],[-121.44968257649036,71.76080171287559],[-121.45079380254978,71.76027076332734],[-121.451386934036,71.7596637972801],[-121.451414803776,71.75902913409926],[-121.4508752489178,71.75841729321317],[-121.44981126574895,71.75787697269284],[-121.44830757230471,71.75745117427881],[-121.44648385702477,71.75717378286828],[-121.4444852532921,71.75706687197798],[-121.44247079753444,71.757138948826],[-121.44060078628068,71.75738427805823],[-121.43902403344909,71.75778333767029],[-121.43786603692068,71.75830437102422],[-121.43721899254453,71.75890591202266],[-121.4371344493234,71.75954008326477],[-121.43761919230336,71.76015640544462],[-121.4386346851947,71.76070581527692],[-121.44010012248677,71.76114457219477],[-121.44189885290879,71.76143774245288],[-121.44388766563539,71.7615619825677],[-121.4442860379758,71.76156544050835]]]}"
18_18,-49.361772855750424,18,-90.94002838949501,-41.57825553374459,"{""type"":""Polygon"",""coordinates"":[[[-121.30985024633758,71.90628158079369],[-121.31187352097551,71.90619203153136],[-121.3137356886759,71.90593051431779],[-121.31528848355714,71.90551785251407],[-121.31640829440957,71.90498690267201],[-121.31700600687113,71.90437993644548],[-121.31703408987704,71.90374527325584],[-121.31649036450834,71.90313343253416],[-121.31541815980553,71.90259311230012],[-121.31390284864628,71.90216731420496],[-121.31206504414943,71.90188992304635],[-121.31005100063783,71.90178301226247],[-121.30802098268829,71.90185508903816],[-121.30613652469468,71.90210041804193],[-121.30454758989842,71.90249947734064],[-121.30338064567442,71.9030205103941],[-121.3027286004242,71.9036220511987],[-121.30264340194402,71.90425622241409],[-121.30313188834472,71.90487254474273],[-121.30415522616573,71.9054219548529],[-121.30563198589367,71.90586071209094],[-121.30744461495165,71.90615388261168],[-121.30944879566137,71.90627812284954],[-121.30985024633758,71.90628158079369]]]}"
19_19,3.512971190564077,19,3.594291665395998,0.08132047483192117,"{""type"":""Polygon"",""coordinates"":[[[-120.87230182150967,71.73207734423725],[-120.87430645108947,71.73198779508253],[-120.87615145892734,71.7317262781582],[-120.87768994578806,71.73131361673511],[-120.87879943954927,71.73078266724616],[-120.87939164665276,71.73017570123513],[-120.87941947335491,71.72954103805607],[-120.87888076004701,71.72892919713681],[-120.87781843587246,71.72838887655865],[-120.87631708672852,71.72796307808026],[-120.87449621446692,71.72768568661887],[-120.87250072627918,71.72757877570709],[-120.87048941076786,71.72765085256971],[-120.86862231467605,71.72789618184805],[-120.86704802000324,71.72829524152338],[-120.86589182899924,71.72881627493798],[-120.86524579372988,71.72941781597554],[-120.86516138272769,71.73005198722305],[-120.86564537033205,71.73066830937285],[-120.8666592802194,71.73121771914907],[-120.86812243279503,71.73165647600227],[-120.86991835865977,71.73194964620737],[-120.87190407033563,71.73207388629736],[-120.87230182150967,71.73207734423725]]]}"
