system:index,area_m2,control,count,label,mean,net_change,.geo
000000000000000000ed_000000000000000000ed,15696.0,1.3649091657957246,2,-124188979363790,0.5722976067431593,-0.7926115590525653,"{""type"":""Polygon"",""coordinates"":[[[-135.10304325239775,66.3075996618611],[-135.10303885775647,66.30680144143633],[-135.09907469092852,66.30680146895719],[-135.09907913075966,66.30759963076156],[-135.10304325239775,66.3075996618611]]]}"
000000000000000000e8_000000000000000000e8,15697.0,1.0945794193384022,2,-124103080017901,1.074295548688971,-0.020283870649431268,"{""type"":""MultiPolygon"",""coordinates"":[[[[-135.03965713797297,66.32277398163298],[-135.04164131782147,66.32277392539062],[-135.04164139571438,66.32197571413259],[-135.03965695412836,66.32197577047963],[-135.03965713797297,66.32277398163298]]],[[[-135.03965713797297,66.32277398163298],[-135.03767279860176,66.32277394793951],[-135.03767722918226,66.32357210164474],[-135.0396571623495,66.32357213668011],[-135.03965713797297,66.32277398163298]]]]}"
000000000000000000e0_000000000000000000e0,15698.0,-0.19264517523864305,2,-124051540410100,-0.36464287509162885,-0.1719976998529858,"{""type"":""Polygon"",""coordinates"":[[[-135.53364078977103,66.33294074994397],[-135.53360507557582,66.33134880121932],[-135.53162076289382,66.33135768663644],[-135.5316563632738,66.3329496359152],[-135.53364078977103,66.33294074994397]]]}"
000000000000000000e1_000000000000000000e1,15698.0,-6.179228561165815,2,-124051540410503,-7.826769169276787,-1.6475406081109716,"{""type"":""Polygon"",""coordinates"":[[[-134.73418194640576,66.33209792730841],[-134.73219761953172,66.33209341825251],[-134.7321798211269,66.3336898272254],[-134.73416410325746,66.3336942775947],[-134.73418194640576,66.33209792730841]]]}"
000000000000000000e2_000000000000000000e2,15698.0,-10.566069319106095,2,-124051540410506,-4.593688504221511,5.972380814884584,"{""type"":""Polygon"",""coordinates"":[[[-134.73021771365998,66.33209346015927],[-134.72624922041857,66.33208457888668],[-134.726240230419,66.33288275260014],[-134.73020888111677,66.3328871786595],[-134.73021771365998,66.33209346015927]]]}"
000000000000000000e5_000000000000000000e5,15698.0,1.014856363642687,2,-124068720279487,0.5897863507270814,-0.42507001291560564,"{""type"":""Polygon"",""coordinates"":[[[-135.13091703818557,66.3306933103979],[-135.13090823279114,66.32909696391995],[-135.12892378049415,66.32910142070278],[-135.1289327699302,66.3306933115199],[-135.13091703818557,66.3306933103979]]]}"
000000000000000000db_000000000000000000db,15699.0,1.2895876585034716,2,-124025770606515,0.8266253232192582,-0.4629623352842134,"{""type"":""Polygon"",""coordinates"":[[[-135.1567530603502,66.33784129189017],[-135.15674424491172,66.33704310082982],[-135.15277992739246,66.33704751640124],[-135.15278448222475,66.33784571277675],[-135.1567530603502,66.33784129189017]]]}"
000000000000000000de_000000000000000000de,15699.0,2.1038514682117513,2,-124042950475768,2.4769613512128617,0.37310988300111037,"{""type"":""Polygon"",""coordinates"":[[[-135.01785651223983,66.33393953275056],[-135.01587217184965,66.33393956470573],[-135.01587228762642,66.33553588721207],[-135.01785658274318,66.33553591390469],[-135.01785651223983,66.33393953275056]]]}"
000000000000000000d8_000000000000000000d8,15700.0,-0.5251239301697868,2,-123961346096871,-0.4925834129433072,0.03254051722647955,"{""type"":""Polygon"",""coordinates"":[[[-135.55983793335852,66.34958650890113],[-135.55979789158326,66.34799019705095],[-135.55781351250505,66.34799908088455],[-135.55785366952122,66.34959093629196],[-135.55983793335852,66.34958650890113]]]}"
000000000000000000d9_000000000000000000d9,15700.0,-0.4482827669448457,2,-123987115900649,-0.45519881069791535,-0.006916043753069645,"{""type"":""Polygon"",""coordinates"":[[[-135.55771531738168,66.3440126448597],[-135.5576975143443,66.34321446567398],[-135.55372902954636,66.3432277988709],[-135.55374687907982,66.34402603651387],[-135.55771531738168,66.3440126448597]]]}"
