system:index,date,mean,site_no,.geo
19800402_0,1980-04-02,3.0544704057267977,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800403_0,1980-04-03,1.6688771078509839,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800404_0,1980-04-04,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800405_0,1980-04-05,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800406_0,1980-04-06,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800407_0,1980-04-07,0.9354857654867902,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800408_0,1980-04-08,0.5476852455626053,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800409_0,1980-04-09,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800410_0,1980-04-10,2.2058783800038326,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800411_0,1980-04-11,2.4271039780183847,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800412_0,1980-04-12,4.242033925093503,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800413_0,1980-04-13,1.1610748400037214,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800414_0,1980-04-14,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800415_0,1980-04-15,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800416_0,1980-04-16,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800417_0,1980-04-17,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800418_0,1980-04-18,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800419_0,1980-04-19,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800420_0,1980-04-20,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800421_0,1980-04-21,1.3976221390225645,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800422_0,1980-04-22,3.9435426543211425,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800423_0,1980-04-23,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800424_0,1980-04-24,0.050354599158851196,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800425_0,1980-04-25,4.926805487748123,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800426_0,1980-04-26,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800427_0,1980-04-27,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800428_0,1980-04-28,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800429_0,1980-04-29,1.1528789582977548,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800430_0,1980-04-30,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800501_0,1980-05-01,1.0064440706329263,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800502_0,1980-05-02,2.5285110825571446,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800503_0,1980-05-03,4.159912679886049,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800504_0,1980-05-04,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800505_0,1980-05-05,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800506_0,1980-05-06,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800507_0,1980-05-07,2.310374313930295,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800508_0,1980-05-08,1.0854551942148694,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800509_0,1980-05-09,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800510_0,1980-05-10,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800511_0,1980-05-11,0.19419663119130867,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800512_0,1980-05-12,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800513_0,1980-05-13,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800514_0,1980-05-14,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800515_0,1980-05-15,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800516_0,1980-05-16,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800517_0,1980-05-17,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800518_0,1980-05-18,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800519_0,1980-05-19,2.611518037967491,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800520_0,1980-05-20,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800521_0,1980-05-21,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800522_0,1980-05-22,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800523_0,1980-05-23,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800524_0,1980-05-24,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800525_0,1980-05-25,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800526_0,1980-05-26,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800527_0,1980-05-27,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800528_0,1980-05-28,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800529_0,1980-05-29,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800530_0,1980-05-30,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800531_0,1980-05-31,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800601_0,1980-06-01,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800602_0,1980-06-02,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800603_0,1980-06-03,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800604_0,1980-06-04,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800605_0,1980-06-05,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800606_0,1980-06-06,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800607_0,1980-06-07,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800608_0,1980-06-08,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800609_0,1980-06-09,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
